vehicle_category,year,vehicle_condition,vehicle_registrations,vehicle_receipts_€
Category A Car,2017,New,131683,551846009
Category A Car,2017,Used,94456,246681038
Category A Car,2016,New,146806,587754526
Category A Car,2016,Used,72718,177415019
Category A Car,2015,New,125211,508273137
Category A Car,2015,Used,48398,105757996
Category A Car,2014,New,96630,390420805
Category A Car,2014,Used,54471,126748411
Category A Car,2013,New,74689,300918676
Category A Car,2013,Used,50687,120851197
Category A Car,2012,New,79874,279503362
Category A Car,2012,Used,40512,86728138
Category A Car,2011,New,90477,292720130
Category A Car,2011,Used,40809,86922887
Category A Car,2010,New,89212,286880278
Category A Car,2010,Used,40115,90132641
Category A Car,2009,New,57337,234395527
Category A Car,2009,Used,49073,131117414
Category A Car,2008,New,151948,910372927
Category A Car,2008,Used,61651,186604733
Category A Car,2007,New,186841,1209323316
Category A Car,2007,Used,59539,167085712
Category A Car,2006,New,178265,1111226068
Category A Car,2006,Used,56327,146280480
Category A Car,2005,New,171881,1028014178
Category A Car,2005,Used,41801,100591425
Category A Car,2004,New,154497,876657414
Category A Car,2004,Used,23573,53367076
Category A Car,2003,New,145406,778528624
Category A Car,2003,Used,14628,27184180
Category A Car,2002,New,156313,756336265
Category A Car,2002,Used,13838,20789879
Category A Car,2001,New,165174,750652946
Category A Car,2001,Used,16140,21326332
Category A Car,2000,New,231539,945141780
Category A Car,2000,Used,24893,39021127
Category B Car Derived Vans,2017,New,4268,21897214
Category B Car Derived Vans,2017,Used,3552,9288829
Category B Car Derived Vans,2016,New,5643,30385146
Category B Car Derived Vans,2016,Used,2681,7959040
Category B Car Derived Vans,2015,New,4516,23266941
Category B Car Derived Vans,2015,Used,1619,3759151
Category B Car Derived Vans,2014,New,3092,14688648
Category B Car Derived Vans,2014,Used,1453,2789471
Category B Car Derived Vans,2013,New,1710,7831394
Category B Car Derived Vans,2013,Used,1001,1547705
Category B Car Derived Vans,2012,New,1394,6833348
Category B Car Derived Vans,2012,Used,839,1220808
Category B Car Derived Vans,2011,New,841,344872
Category B Car Derived Vans,2011,Used,969,1088015
Category B Car Derived Vans,2010,New,746,2283993
Category B Car Derived Vans,2010,Used,1169,1090688
Category B Car Derived Vans,2009,New,856,2694107
Category B Car Derived Vans,2009,Used,2092,2998088
Category B Car Derived Vans,2008,New,3825,12669089
Category B Car Derived Vans,2008,Used,1484,4190274
Category B Car Derived Vans,2007,New,5109,16996214
Category B Car Derived Vans,2007,Used,2767,4698217
Category B Car Derived Vans,2006,New,5667,19039186
Category B Car Derived Vans,2006,Used,2432,3622097
Category B Car Derived Vans,2005,New,3845,11133564
Category B Car Derived Vans,2005,Used,2030,2419788
Category B Car Derived Vans,2004,New,3100,8549311
Category B Car Derived Vans,2004,Used,1428,1616041
Category B Car Derived Vans,2003,New,2318,5781125
Category B Car Derived Vans,2003,Used,1065,1100750
Category B Car Derived Vans,2002,New,2999,7972100
Category B Car Derived Vans,2002,Used,992,1051400
Category B Car Derived Vans,2001,New,2891,7160020
Category B Car Derived Vans,2001,Used,852,919316
Category B Car Derived Vans,2000,New,3345,8062560
Category B Car Derived Vans,2000,Used,1094,1174710
Category C Commercial Vehicles,2017,New,25241,5045800
Category C Commercial Vehicles,2017,Used,18112,3613200
Category C Commercial Vehicles,2016,New,27765,5571877
Category C Commercial Vehicles,2016,Used,15130,3014600
Category C Commercial Vehicles,2015,New,23920,4781600
Category C Commercial Vehicles,2015,Used,11299,2248279
Category C Commercial Vehicles,2014,New,18024,3603400
Category C Commercial Vehicles,2014,Used,13008,2593007
Category C Commercial Vehicles,2013,New,13175,2634600
Category C Commercial Vehicles,2013,Used,12541,2491320
Category C Commercial Vehicles,2012,New,13033,2610143
Category C Commercial Vehicles,2012,Used,7218,1430200
Category C Commercial Vehicles,2011,New,13431,1609405
Category C Commercial Vehicles,2011,Used,9512,1292500
Category C Commercial Vehicles,2010,New,12555,713513
Category C Commercial Vehicles,2010,Used,13410,672617
Category C Commercial Vehicles,2009,New,12388,617550
Category C Commercial Vehicles,2009,Used,20702,1030100
Category C Commercial Vehicles,2008,New,36526,1824950
Category C Commercial Vehicles,2008,Used,21530,1068000
Category C Commercial Vehicles,2007,New,52843,2640400
Category C Commercial Vehicles,2007,Used,22511,1114950
Category C Commercial Vehicles,2006,New,49479,2460505
Category C Commercial Vehicles,2006,Used,25040,1242300
Category C Commercial Vehicles,2005,New,45166,2256850
Category C Commercial Vehicles,2005,Used,20892,1034900
Category C Commercial Vehicles,2004,New,37315,1868471
Category C Commercial Vehicles,2004,Used,15469,764350
Category C Commercial Vehicles,2003,New,37432,1870154
